term,definition
birth,рождение
bit,кусок; немного
bite,кусать; укус
black,чёрный
blame,винить; обвинять
bless,благословлять
blind,слепой
block,блок; квартал
blog,блог
blood,кровь
bloody,кровавый
blow,дуть; удар
blue,синий
board,доска; борт
boat,лодка; корабль
body,тело
bomb,бомба
bond,связь; облигация
bone,кость
book,книга; бронировать
boom,бум; резкий рост
boost,повышать; увеличивать
boot,ботинок; загружать
border,граница
bore,скука; надоедать
borrow,брать взаймы
boss,босс; начальник
both,оба
bother,беспокоить; надоедать
bottle,бутылка
bottom,дно; низ
boundary,граница; предел
bowl,миска; чаша
box,коробка; ящик
boy,мальчик; парень
brain,мозг; ум
branch,ветка; филиал
brand,бренд; марка
bread,хлеб
break,перерыв; ломать; пауза
breakfast,завтрак
breast,грудь; грудная клетка
breath,дыхание; вздох
breathe,дышать
breed,порода; разводить (животных)
bridge,мост
brief,краткий; короткий
briefly,кратко; вкратце
bright,яркий; умный
brilliant,блестящий; выдающийся
bring,приносить; приводить
broad,широкий
broadcast,транслировать; передавать
brother,брат
brown,коричневый
brush,щетка; чистить
budget,бюджет
build,строить; создавать
bunch,группа; связка
burden,бремя; нагрузка
burn,гореть; жечь
burst,взрываться; лопаться
bury,хоронить; зарывать
bus,автобус
business,бизнес; дело
busy,занятой
but,но; кроме
button,кнопка; пуговица
buy,покупать
buyer,покупатель
by,у; около; с помощью
cable,кабель; трос
cake,торт; пирог
calculate,вычислять; считать
call,звать; звонить; вызов
calm,спокойный; успокаивать
camera,камера; фотоаппарат
camp,лагерь; разбивать лагерь
campaign,кампания; акция
can,мочь; банка
cancel,отменять
cancer,рак
candidate,кандидат
cap,кепка; крышка
capability,способность; возможность
capable,способный
capacity,вместимость; способность
capital,столица; капитал
capture,захватывать; пленять
car,машина; автомобиль
carbon,углерод
card,карта; карточка
care,забота; заботиться
career,карьера
careful,осторожный
carefully,внимательно; осторожно
carpet,ковер
carry,нести; перевозить
case,случай; дело; чехол
cash,наличные
cast,бросать; актерский состав
castle,замок
cat,кот; кошка
catalog,каталог
catch,ловить; поймать
category,категория; разряд
cause,причина; вызывать
celebrate,праздновать
celebration,праздник; торжество
cell,клетка; ячейка
cent,цент
center,центр
central,центральный
century,век; столетие
ceremony,церемония
certain,определённый; уверенный
certainly,конечно; безусловно
chain,цепь; сеть
chair,стул
chairman,председатель
challenge,вызов; сложная задача
chamber,камера; зал
champion,чемпион
championship,чемпионат
chance,шанс; возможность
change,менять; изменение; сдача
channel,канал
chapter,глава; раздел
character,характер; персонаж
characteristic,характеристика; особенность
characterize,характеризовать
charge,заряд; плата; обвинять
charity,благотворительность; милосердие
charm,очарование; обаяние; амулет
chart,график; диаграмма; таблица
chase,гнаться; преследовать; погоня
chat,болтать; беседа; чат
cheap,дешёвый; недорогой
check,проверять; счёт; контроль
cheek,щека
cheese,сыр
chemical,химический; химикат
chest,грудь; сундук
chicken,курица; цыплёнок
chief,главный; начальник
child,ребёнок; дитя
childhood,детство
chip,чип; осколок; картофель фри
chocolate,шоколад
choice,выбор; отбор
choose,выбирать
church,церковь
cigarette,сигарета
circle,круг; окружность
circumstance,обстоятельство; ситуация
cite,цитировать; ссылаться
citizen,гражданин
city,город
civil,гражданский; цивильный
civilian,гражданский (невоенный)
claim,заявлять; требовать; претензия
class,класс; урок; категория
classic,классический; классика
classical,классический (музыка; искусство)
clause,пункт; статья (документа)
clean,чистый; чистить
clear,ясный; чистый; понятный
clearly,ясно; явно
click,щелкать; клик
climate,климат
climb,лазить; подниматься
clinical,клинический; медицинский
clock,часы
close,близкий; закрывать; близко
closely,тесно; внимательно
clothes,одежда
clothing,одежда
cloud,облако
club,клуб; дубинка
cluster,группа; скопление
coach,тренер; автобус
coal,уголь
coast,берег; побережье
coat,пальто; покрывать
code,код; шифр
coffee,кофе
coin,монета; чеканить
cold,холодный; простуда
collapse,рухнуть; обвал; крах
colleague,коллега
collect,собирать; коллекционировать
collection,коллекция; сбор
college,колледж; институт
color,цвет
column,колонка; столбец
combination,сочетание; комбинация
combine,соединять; сочетать
come,приходить; приезжать
comedy,комедия
comfort,комфорт; утешать
comfortable,удобный; комфортный
command,команда; управлять
comment,комментарий; комментировать
commercial,рекламный; коммерческий
commission,комиссия; поручение
commit,совершать; поручать
commitment,обязательство; приверженность
committee,комитет
common,общий; распространённый
communicate,общаться; передавать
communication,общение; связь
community,сообщество; община
company,компания; компания (люди)
compare,сравнивать
comparison,сравнение
compensation,компенсация; возмещение
compete,соревноваться; конкурировать
competition,конкурс; соревнование
competitive,конкурентоспособный; соревновательный
competitor,конкурент; соперник
complain,жаловаться
complaint,жалоба
complete,завершать; полный
completely,полностью; совершенно
complex,сложный; комплекс
complexity,сложность
complicate,усложнять
component,компонент; составная часть
compose,сочинять; составлять
composition,сочинение; состав
compound,соединение; составной; усложнять
comprehensive,всесторонний; комплексный; полный
comprise,включать; состоять из
compromise,компромисс; идти на уступки
compute,вычислять; считать
computer,компьютер; компьютерный
concentrate,концентрироваться; сосредотачиваться
concentration,концентрация; сосредоточенность
concept,понятие; концепция; идея
concern,беспокойство; забота; касаться
concert,концерт
conclude,заключать; делать вывод
conclusion,вывод; заключение
concrete,бетон; конкретный
condition,условие; состояние
conduct,проводить; вести
conference,конференция; совещание
confidence,уверенность; доверие
confident,уверенный
confirm,подтверждать
conflict,конфликт; противоречие
confuse,путать; сбивать с толку
confusion,путаница; замешательство
connect,соединять; связывать
connection,связь; соединение
consequence,последствие; результат
consequently,следовательно; поэтому
conservative,консервативный; осторожный
consider,рассматривать; считать; обдумывать
considerable,значительный; существенный
consideration,рассмотрение; внимание
consist,состоять из
consistent,последовательный; согласующийся
constant,постоянный; неизменный
constantly,постоянно; непрерывно
constitute,составлять; образовывать
constraint,ограничение; принуждение
construct,строить; создавать
construction,строительство
consult,консультироваться; советоваться
consultant,консультант; советник
consume,потреблять; расходовать
consumer,потребитель
contact,контакт; связь
contain,содержать
contemporary,современный; современник
content,содержание; довольный
contest,соревнование; конкурс
context,контекст; ситуация
continue,продолжать
continuous,непрерывный; постоянный
contract,контракт; сокращать(ся)
contrast,контраст; противопоставлять
contribute,вносить вклад; способствовать
contribution,вклад; пожертвование
control,контроль; управлять
controversial,спорный; противоречивый
convention,конвенция; собрание; обычай
conventional,традиционный; обычный
conversation,разговор
convert,преобразовывать; превращать
convince,убеждать
cook,готовить; повар
cool,прохладный; классный
cooperation,сотрудничество
cope,справляться
copy,копия; копировать
core,ядро; суть
corner,угол
corporate,корпоративный; корпоративный
corporation,корпорация; компания
correct,правильный; исправлять
correspond,соответствовать; переписываться
cost,стоимость; стоить
cough,кашель; кашлять
could,мог; мог бы
council,совет; советник
counsel,совет; консультировать
count,считать; подсчитывать
counter,прилавок; счетчик; противостоять
country,страна; сельская местность
county,графство; округ
couple,пара; несколько
course,курс; направление
court,суд; двор
cousin,двоюродный брат/сестра
cover,покрывать; покрытие
coverage,освещение; покрытие
cow,корова
crack,трещина; трескаться
craft,ремесло; мастерство
crash,авария; разбиваться
crazy,сумасшедший; безумный
cream,крем; сливки
create,создавать
creation,создание; творение
creative,творческий
creature,существо; создание
credit,кредит; доверие
crew,экипаж; команда
crime,преступление
criminal,преступник; уголовный
crisis,кризис; переломный момент
criteria,критерии; показатели
critic,критик; рецензент
critical,критический; решающий; важный
criticism,критика; замечания
criticize,критиковать; осуждать
crop,урожай; посев
cross,пересекать; крест; переходить
crowd,толпа; множество
crucial,решающий; ключевой
cry,плакать; крик
cultural,культурный
culture,культура; воспитание
cup,чашка; кубок
curious,любопытный; странный
currency,валюта; денежная единица
current,текущий; современный; поток
currently,в настоящее время; сейчас
curtain,занавеска; штора
curve,кривая; изгиб
custom,обычай; традиция; заказ
customer,клиент; покупатель
cut,резать; порез; сокращать
cycle,цикл; круг; ездить на велосипеде
dad,папа; отец
daily,ежедневный; ежедневно
damage,повреждение; ущерб; вред
damn,чёрт; проклятие; чертов
dance,танцевать; танец
danger,опасность; риск
dangerous,опасный; рискованный
dare,осмеливаться; сметь
dark,тёмный; мрачный
darkness,темнота; мрак
data,данные; информация
database,база данных
date,дата; свидание; финик
daughter,дочь
day,день
dead,мертвый; безжизненный
deal,сделка; иметь дело; распределять
dealer,продавец; дилер
dear,дорогой; милый
death,смерть
debate,дебаты; обсуждение
debt,долг; задолженность
decade,десятилетие
decide,решать; принимать решение
decision,решение; постановление
declare,заявлять; объявлять
decline,снижение; уменьшаться; отклонять
decrease,уменьшать(ся); снижение
dedicate,посвящать; предназначать
deep,глубокий; сильный
deeply,глубоко; сильно
defeat,поражение; побеждать
defend,защищать; оборонять
defense,защита; оборона
deficit,дефицит; нехватка
define,определять; давать определение
definitely,определённо; точно
definition,определение; значение
degree,степень; уровень; градус
delay,задержка; откладывать
delight,удовольствие; восхищение
deliver,доставлять; вручать
delivery,доставка; поставка
demand,спрос; требовать
democracy,демократия
democratic,демократический
demonstrate,демонстрировать; показывать
demonstration,демонстрация; показ
density,плотность; густота
deny,отрицать; отказывать
department,отдел; департамент
depend,зависеть; рассчитывать
dependent,зависимый; иждивенец
deposit,вклад; депозит; класть
depress,угнетать; подавлять
depression,депрессия; спад
depth,глубина; глубокомыслие
derive,происходить; извлекать
describe,описывать; характеризовать
description,описание; характеристика
desert,пустыня; покидать
deserve,заслуживать
design,дизайн; проектировать
designer,дизайнер; конструктор
desire,желание; хотеть
desk,письменный стол; рабочее место
despite,несмотря на
destroy,разрушать; уничтожать
destruction,разрушение; уничтожение
detail,деталь; подробность
detect,обнаруживать; выявлять
determination,решимость; определение
determine,определять; решать
develop,развивать; разрабатывать
development,развитие; разработка
device,устройство; прибор; аппарат
devote,посвящать; уделять
dialog,диалог; разговор
die,умирать; погибать
diet,диета; питание
differ,отличаться; различаться
difference,разница; отличие
different,разный; другой
differently,по-разному; иначе
difficult,трудный; сложный
difficulty,трудность; затруднение
dig,копать; рыть
digital,цифровой; электронный
dimension,размер; измерение
dinner,ужин; обед
direct,прямой; направлять
direction,направление; указание
directly,прямо; непосредственно
director,директор; режиссёр
dirty,грязный; нечистый
disagree,не соглашаться; расходиться во мнениях
disappear,исчезать; пропадать
disappoint,разочаровывать
disaster,катастрофа; бедствие
discipline,дисциплина; порядок
discount,скидка; уменьшать цену
discover,обнаруживать; открывать
discovery,открытие; обнаружение
discuss,обсуждать; говорить о
discussion,обсуждение; дискуссия
disease,болезнь; заболевание
dish,блюдо; тарелка
disk,диск; пластинка
dismiss,увольнять; отклонять
disorder,расстройство; беспорядок
display,показывать; выставлять
dispute,спор; разногласие
distance,расстояние; дистанция
distant,далёкий; отдалённый
distinct,отчётливый; ясный
distinction,различие; отличие
distinguish,различать; отличать
distribute,распределять; раздавать
district,район; округ
disturb,беспокоить; мешать
diversity,разнообразие; многообразие
divide,делить; разделять
division,деление; отдел
divorce,развод; расторжение брака
do,делать; выполнять
doctor,врач; доктор
document,документ; письменный источник
dog,собака
dollar,доллар
domestic,внутренний; домашний
dominate,доминировать; преобладать
door,дверь
double,двойной; удваивать
doubt,сомнение; сомневаться
down,вниз; вниз по
dozen,дюжина
draft,черновик; набросок
drag,тянуть; тащить
drama,драма; спектакль
dramatic,драматический; эффектный
dramatically,резко; значительно
draw,рисовать; тянуть
dream,мечта; сон
dress,одеваться; платье
drink,пить; напиток
drive,водить; ехать
driver,водитель; шофёр
drop,падать; капля
drug,лекарство; наркотик
dry,сухой; сушить
due,ожидаемый; должный
during,во время; в течение
dust,пыль; посыпать
duty,обязанность; долг
each,каждый
ear,ухо
early,рано; ранний
earn,зарабатывать; получать
earth,земля; почва
ease,легкость; облегчать
easily,легко; без труда
east,восток
eastern,восточный
easy,лёгкий; простой
eat,есть; кушать
economic,экономический
economy,экономика; хозяйство
edge,край; грань
edit,редактировать; править
edition,издание; выпуск
editor,редактор
educate,обучать; воспитывать
education,образование; воспитание
educational,образовательный; учебный
effect,эффект; результат
effective,эффективный; действенный
effectively,эффективно; действенно
efficiency,эффективность; производительность
efficient,эффективный; рациональный
effort,усилие; попытка
egg,яйцо
either,любой; либо; один из двух
elderly,пожилой; старший
elect,избирать; выбирать
election,выборы
electric,электрический
electricity,электричество
electronic,электронный
element,элемент; составная часть
eliminate,устранять; исключать
else,еще; другой
elsewhere,где-то еще; в другом месте
email,электронная почта; имейл
embarrass,смущать; стеснять
embrace,обнимать; принимать
emerge,появляться; возникать
emergency,чрезвычайная ситуация; экстренный случай
emotion,эмоция; чувство
emotional,эмоциональный
emphasis,акцент; особое внимание
emphasize,подчеркивать; акцентировать
empire,империя
employ,нанимать; использовать
employee,сотрудник; работник
employer,работодатель
employment,занятость; трудоустройство
empty,пустой; свободный
enable,позволять; давать возможность
encounter,встречать; сталкиваться
encourage,поощрять; поддерживать
end,конец; заканчивать
enemy,враг
energy,энергия; сила
engage,занимать; привлекать
engine,двигатель; мотор
engineer,инженер
enhance,улучшать; усиливать
enjoy,наслаждаться; получать удовольствие
enormous,огромный; гигантский
enough,достаточно
ensure,обеспечивать; гарантировать
enter,входить; поступать
enterprise,предприятие; компания
entertain,развлекать
entertainment,развлечение
entire,целый; весь
entirely,полностью; совершенно
entitle,давать право; озаглавливать
entrance,вход; вступление
entry,вход; запись
envelope,конверт
environment,окружающая среда; окружение
environmental,экологический
episode,эпизод; случай
equal,равный; одинаковый
equally,в равной степени; одинаково
equation,уравнение
equipment,оборудование; снаряжение
equivalent,эквивалент; равнозначный
era,эра; эпоха
error,ошибка; погрешность
escape,убегать; избегать
especially,особенно; в особенности
essay,эссе; сочинение
essential,существенный; необходимый
establish,устанавливать; основывать
establishment,учреждение; организация
estate,имущество; поместье
estimate,оценивать; приблизительная оценка
ethnic,этнический
evaluate,оценивать
evaluation,оценка
even,даже; ровный
evening,вечер
event,событие; мероприятие
eventually,в конце концов; в итоге
ever,когда-либо; всегда
every,каждый
everybody,все; каждый
everyday,ежедневный; повседневный
everyone,все; каждый
everything,всё
everywhere,везде
evidence,доказательство; свидетельство
evil,зло; злой
evolution,эволюция; развитие
evolve,развиваться; эволюционировать
exact,точный; именно
exactly,точно; именно
exam,экзамен
examination,осмотр; экзамен
examine,осматривать; исследовать
example,пример
exceed,превышать; превосходить
excellent,отличный; превосходный
except,кроме; за исключением
exception,исключение
excess,избыток; чрезмерность
exchange,обмен; менять
excite,возбуждать; волновать
excitement,волнение; возбуждение
exclude,исключать; не допускать
excuse,извинение; оправдание; извинять
executive,руководитель; исполнительный
exercise,упражнение; тренировка; заниматься
exhaust,истощать; выхлоп; утомлять
exhibit,выставлять; экспонат
exhibition,выставка
exist,существовать
existence,существование; жизнь
expand,расширять(ся); увеличивать(ся)
expansion,расширение; рост
expect,ожидать
expectation,ожидание
expenditure,расходы; затраты
expense,расход; затрата
expensive,дорогой
experience,опыт; испытывать
experiment,эксперимент; экспериментировать
experimental,экспериментальный
expert,эксперт; специалист
explain,объяснять
explanation,объяснение
explore,исследовать; изучать
export,экспорт; экспортировать
expose,подвергать; раскрывать
exposure,подвергание; экспозиция
express,выражать; экспресс
expression,выражение
extend,расширять; продлевать
extension,расширение; продление
extensive,обширный; широкий
extent,степень; масштаб
external,внешний
extra,дополнительный; лишний
extract,извлекать; вытягивать; экстракт
extraordinary,необычный; выдающийся
extreme,крайний; экстремальный
extremely,чрезвычайно; очень
eye,глаз
face,лицо; сталкиваться
facility,объект; сооружение; удобство
fact,факт
factor,фактор; причина
factory,фабрика; завод
fade,увядать; блекнуть
fail,терпеть неудачу; провалиться
failure,неудача; провал
fair,справедливый; ярмарка
fairly,довольно; справедливо
faith,вера; доверие
faithfully,верно; преданно
fall,падать; осень
false,ложный; неверный
familiar,знакомый; привычный
family,семья
famous,знаменитый; известный
fan,вентилятор; поклонник
fancy,фантазия; причудливый; нравиться
fantastic,фантастический; отличный
far,далеко
farm,ферма; хозяйство
farmer,фермер; крестьянин
fascinate,очаровывать; увлекать
fashion,мода; стиль
fast,быстрый; быстро
fat,жир; толстый
father,отец
fault,вина; ошибка
favor,одолжение; благосклонность
favorite,любимый
fear,страх; бояться
feature,особенность; черта
federal,федеральный
fee,плата; взнос
feed,кормить; корм
feel,чувствовать
fellow,товарищ; парень
female,женский; женщина
fence,забор; ограда
festival,фестиваль; праздник
few,немного; несколько
fiction,художественная литература; вымысел
field,поле; область
fight,борьба; сражаться
figure,цифра; фигура; считать
file,файл; папка; подшивать
fill,заполнять; наполнять
film,фильм; пленка
filter,фильтр; фильтровать
final,финальный; последний
finally,наконец; в конце концов
finance,финансы; финансировать
financial,финансовый
find,находить; считать
fine,хороший; прекрасный; отличный
finger,палец
finish,заканчивать; завершать; финиш
fire,огонь; пожар; увольнять
firm,фирма; твердый; крепкий
firmly,крепко; твердо; решительно
first,первый
firstly,во-первых
fish,рыба; ловить рыбу
fit,подходить; соответствовать; в хорошей форме
fix,чинить; исправлять; закреплять
flag,флаг
flash,вспышка; мелькать; светить
flat,квартира; плоский; ровный
flexible,гибкий; податливый
flight,полет; рейс; бегство
float,плавать; поплавок; плыть
flood,наводнение; потоп; затоплять
floor,пол; этаж
flow,течь; поток
flower,цветок
fly,летать; муха
focus,фокус; сосредотачиваться
fold,складывать; сгибать; складка
folk,народ; люди
follow,следовать; идти за
food,еда; пища
fool,дурак; глупец; обманывать
foot,нога; ступня
football,футбол
for,для; за; ради
force,сила; принуждать
forecast,прогноз; предсказывать
foreign,иностранный; зарубежный
forest,лес
forever,навсегда
forget,забывать
form,форма; образовывать; формировать
formal,официальный; формальный
format,формат
formation,образование; формирование
former,бывший; прежний
formula,формула
forth,вперед; далее
fortunate,счастливый; удачливый
fortune,удача; состояние; судьба
forward,вперед; пересылать
found,основывать; учреждать
foundation,фонд; основание
fragment,фрагмент; кусок
frame,рама; каркас; структура
framework,каркас; структура; основа
free,свободный; бесплатный
freedom,свобода
freeze,замерзать; замораживать
frequency,частота
frequent,частый
frequently,часто
fresh,свежий; новый
friend,друг
friendly,дружелюбный; дружеский
friendship,дружба
frighten,пугать; страшить
from,от; из
front,перед; фасад
fruit,фрукт
fuel,топливо
fulfill,выполнять; исполнять
full,полный
fully,полностью
fun,веселье; забава
function,функция; функционировать
functional,функциональный
fund,фонд; финансировать
fundamental,основной; фундаментальный
funny,смешной; забавный
furniture,мебель
further,дальше; далекий
furthermore,кроме того; более того
future,будущее
gain,получать; приобретать; выгода
gallery,галерея; выставка
game,игра; охота
gap,пробел; разрыв; щель
garden,сад; огород
gas,газ; бензин
gate,ворота
gather,собирать; собираться
gay,гей; веселый
gaze,пристально смотреть; взгляд
gear,передача; снаряжение
gender,пол
gene,ген
general,общий; генерал
generally,обычно; в целом
generate,производить; создавать
generation,поколение
genetic,генетический
gentle,нежный; мягкий
gentleman,джентльмен; господин
gently,нежно; мягко
genuine,подлинный; настоящий; искренний
gesture,жест; движение
get,получать; становиться; добираться
giant,гигант; гигантский
gift,подарок; дар
girl,девочка; девушка
give,давать; дарить
glad,рад; довольный
glance,взгляд; беглый взгляд
glass,стекло; стакан
global,глобальный; мировой
go,идти; ехать; становиться
goal,цель; гол
god,бог
gold,золото
golden,золотой
golf,гольф
good,хороший; добрый
govern,управлять; руководить
government,правительство
governor,губернатор
grab,схватить; захватить
grade,оценка; класс
gradually,постепенно
graduate,выпускник; заканчивать учебу
grain,зерно; крупинка
grammar,грамматика
grand,величественный; большой
grandmother,бабушка
grant,грант; предоставлять
grass,трава
grateful,благодарный
gray,серый
great,великий; отличный
greatly,значительно; очень
green,зелёный
greet,приветствовать
grin,ухмылка; улыбка
ground,земля; почва
group,группа
grow,расти; выращивать
growth,рост; развитие
guarantee,гарантия; гарантировать
guard,охрана; охранять
guess,угадывать; предполагать
guest,гость
guide,гид; руководить
guideline,руководство; инструкция
guilty,виновный
guitar,гитара
gun,оружие; пистолет
guy,парень; человек
habit,привычка
hair,волосы
half,половина
hall,зал; коридор
hand,рука; передавать
handle,рукоятка; справляться
hang,вешать; висеть
happen,случаться
happiness,счастье
happy,счастливый
harbor,гавань; порт
hard,трудный; твёрдый
hardly,едва; почти не
harm,вред; причинять вред
hat,шляпа; шапка
hate,ненавидеть
have,иметь
he,он
head,голова; руководить
health,здоровье
healthy,здоровый
hear,слышать
heart,сердце
heat,жара; нагревать
heavily,сильно; тяжело
heavy,тяжёлый
height,высота
hell,ад
hello,привет
help,помощь; помогать
helpful,полезный
hence,следовательно; отсюда
here,здесь
hero,герой
herself,сама
hesitate,колебаться
hi,привет
hide,прятать; кожа
high,высокий
highlight,выделять; основной момент
highly,высоко; очень
hill,холм
himself,сам
hint,намёк
hire,нанимать
historian,историк
historic,исторический
historical,исторический
history,история
hit,ударять; попадать; бить
hold,держать; проводить (мероприятие)
holder,держатель; владелец
hole,дыра; отверстие
holiday,отпуск; праздник
home,дом; домой
honest,честный; искренний
honor,честь; почет
hook,крюк; крючок
hope,надеяться; надежда
hopefully,с надеждой; будем надеяться
horrible,ужасный; отвратительный
horse,лошадь
hospital,больница
host,хозяин; ведущий
hot,горячий; острый
hotel,отель; гостиница
hour,час
house,дом; жилище
household,домашнее хозяйство; семья
how,как
however,однако; тем не менее
huge,огромный; гигантский
human,человеческий; человек
humor,юмор; чувство юмора
hunger,голод
hunt,охотиться; охота
hurry,спешить; торопиться
hurt,ранить; причинять боль
husband,муж
hypothesis,гипотеза
I,я
ice,лед
idea,идея; мысль
ideal,идеальный; идеал
identify,опознавать; идентифицировать
identity,личность; идентичность
if,если
ignore,игнорировать; не обращать внимания
ill,больной; нездоровый
illegal,незаконный; нелегальный
illness,болезнь; недуг
illustrate,иллюстрировать; пояснять
illustration,иллюстрация; пример
image,образ; изображение
imagination,воображение
imagine,представлять; воображать
immediate,немедленный; непосредственный
immediately,немедленно; сразу
immigrant,иммигрант
immigration,иммиграция
implement,внедрять; осуществлять
