term,definition
airline,a company that flies passengers by plane
alarm,a warning sound or signal of danger
album,a collection of songs or pictures
alcohol,a drink that can make you drunk
"alive","living, not dead"
all,every one or everything
allege,to say something without proof
allow,to let someone do something
ally,a friend or partner in a group
"almost","nearly, but not completely"
alone,without other people
along,moving in a line beside something
alongside,next to or together with
already,before now or before a time
alright,acceptable or okay
"also","in addition, too"
alter,to change something
alternative,a different choice or option
"although","even though, despite the fact"
altogether,completely or in total
"always","at all times, every time"
amaze,to surprise someone greatly
amendment,a change or addition to a law
among,in the middle of a group
amount,a quantity or number of something
analysis,a detailed examination of something
analyst,a person who studies information carefully
analyze,to examine something in detail
ancient,very old or from long ago
and,used to connect words or ideas
anger,a strong feeling of being mad
angle,the space between two lines meeting
angry,feeling mad or upset
animal,a living creature that is not human
announce,to make something known publicly
announcement,a public statement or message
annual,happening once every year
another,one more or an additional one
answer,a response to a question or problem
anticipate,to expect or look forward to something
anxiety,a feeling of worry or nervousness
anxious,feeling worried or uneasy
"any","one or some, no matter which"
"anybody","any person, no matter who"
"anymore","no longer, not now"
"anyone","any person, no matter who"
"anything","any object, event, or matter"
"anyway","in any case, regardless of other things"
anywhere,in or to any place
apart,separated by distance or space
apartment,a set of rooms for living in a building
apologize,to say sorry for a mistake or offense
apparent,clearly visible or understood
apparently,seemingly or as far as one knows
appeal,to ask for help or support
appear,to come into sight or become visible
appearance,the way someone or something looks
application,a formal request or use of something
apply,to make a formal request or use something
appoint,to choose someone for a job or role
appointment,a scheduled meeting or arrangement
appreciate,to recognize the value or importance of
approach,to come near or move toward something
appropriate,suitable or proper for a situation
approval,the act of agreeing or accepting
approve,to agree with or accept something
"approximately","about or nearly, not exact"
architecture,the design and style of buildings
area,a particular region or part of a place
argue,to give reasons for or against something
argument,a reason or set of reasons given to support an
arise,to come up or begin to exist
arm,the part of the body between shoulder and hand
army,a large group of soldiers
around,located on every side or nearby
arrange,to put things in a certain order or plan
arrangement,a plan or preparation for something
arrest,to stop someone by legal authority
arrival,the act of coming to a place
arrive,to reach a place
art,creative work like painting or music
article,a piece of writing in a newspaper
artist,a person who creates art
as,used to show comparison or role
ashamed,feeling bad about something done
aside,to one side or out of the way
ask,to request information or help
assess,to evaluate or judge something
assessment,the process of evaluating something
asset,a useful or valuable thing or person
assign,to give someone a task or job
assist,to help someone
assistance,help or support given to someone
assistant,a person who helps another
associate,to connect or link with something
association,a group of people with a common purpose
assume,to accept something as true without proof
assumption,something accepted as true without proof
assure,to tell someone something confidently
at,used to show a location or time
athlete,a person who competes in sports
atmosphere,the air around the Earth or mood of a place
attach,to fasten or join something to another
attachment,something fastened or added to something else
attack,to try to hurt or damage someone or something
attempt,to try to do something
attend,to be present at an event or place
attendance,the act of being present
attention,the act of focusing on something
attitude,a way of thinking or feeling about something
attract,to draw interest or attention
attraction,something that draws interest or attention
attractive,pleasing or appealing to look at
attribute,a quality or characteristic of something
audience,a group of people watching or listening
aunt,the sister of your mother or father
author,a person who writes books or articles
automatically,done by a machine or without thinking
autumn,the season between summer and winter
available,able to be used or gotten
average,typical or normal amount or level
avoid,to stay away from something
award,a prize given for achievement
aware,knowing about something
awareness,knowledge or understanding of something
away,at a distance from a place
awful,very bad or unpleasant
baby,a very young child or infant
back,the rear part of something
background,the area behind the main subject
bad,not good or poor quality
badly,in a poor or harmful way
bag,a container made of flexible material
balance,an even distribution of weight or amount
ball,a round object used in games
ban,to officially forbid something
band,a group of musicians or a ring
bank,a place where money is kept or managed
bar,a long rod or a place to get drinks
barely,only just or almost not
barrier,something that blocks movement or progress
base,the bottom support or foundation
basic,simple or fundamental
basically,in the most important way
basis,the main reason or foundation
bath,a container for washing or washing oneself
battle,a fight between groups or armies
be,to exist or live
beach,a sandy or pebbly shore by water
bear,a large wild animal or to carry something
beat,to hit repeatedly or win against someone
beautiful,pleasing to look at or very attractive
beauty,the quality of being pleasing or attractive
because,for the reason that
become,to begin to be something
bed,a piece of furniture for sleeping
bedroom,a room used for sleeping in
beer,an alcoholic drink made from barley and hops
before,earlier than a certain time or event
begin,to start or do the first part of something
"behave","to act in a certain way, usually good"
behavior,the way a person or animal acts
behind,at the back of or after something
belief,an idea that someone thinks is true
believe,to accept something as true or real
bell,a hollow metal object that makes sound
belong,to be owned by or part of something
below,at a lower place or position than something
belt,a strip of leather or cloth worn around waist
bend,to shape something by curving it
beneath,under or lower than something else
benefit,an advantage or good result from something
beside,next to or at the side of something
besides,in addition to or apart from something
bet,to risk money on a result happening
between,in the space separating two things
beyond,farther than or outside the limits of
bias,a preference that affects fairness or judgment
bid,to offer a price for something in an auction
big,of large size or amount
bike,a bicycle or motorcycle
bill,a statement of money owed for goods or services
bin,a container for storing or throwing away things
bind,to tie or fasten something tightly
biological,relating to living things or life science
bird,a creature with feathers and wings that flies
birth,the process of being born
bit,a small piece or amount of something
bite,to cut or hold with teeth
"black","the darkest color, like night without light"
blame,to say someone is responsible for a fault
bless,to ask for help or protection from God
blind,unable to see
block,a solid piece of material or to stop movement
blog,a website with regular personal or topical posts
blood,the red liquid that flows in bodies
bloody,covered in or full of blood
blow,to move air or strike with force
blue,a color like the sky on a clear day
"board","a flat, thin, rectangular piece of material"
boat,a small vessel for traveling on water
body,the physical structure of a person or animal
bomb,an explosive device that causes destruction
bond,a strong connection or tie between people or things
bone,the hard parts inside the body that form the skeleton
book,a set of written or printed pages bound together
"boom","a loud, deep, resonant sound or rapid growth"
boost,to increase or improve something
boot,a type of sturdy shoe covering the foot and ankle
border,the edge or boundary of an area or country
bore,to make someone feel tired or uninterested
borrow,to take something temporarily with permission
boss,a person in charge of workers or a group
both,referring to two people or things together
bother,to annoy or cause trouble for someone
bottle,a container for holding liquids
bottom,the lowest part or point of something
boundary,a line that marks the edge of an area
"bowl","a round, deep dish used for holding food or liquid"
box,a container with flat sides and a lid
boy,a male child or young man
brain,the organ inside the head that controls thinking
branch,a part of a tree that grows out from the
brand,a type of product made by a particular company
bread,a common food made from baked dough
break,to separate into pieces or stop working
breakfast,the first meal of the day
breast,the front part of the chest of a person or
breath,the air taken in or let out when breathing
breathe,to take air into and out of the lungs
breed,to produce young animals or plants
bridge,a structure built to cross over water or land
brief,short in time or length
briefly,for a short time
bright,giving off a lot of light or intelligent
brilliant,very bright or extremely clever
bring,to carry or take something to a place
broad,wide or large in extent or range
broadcast,to send out a program on radio or TV
brother,a male sibling
brown,a color like dark orange or red mixed with black
brush,a tool with bristles for cleaning or painting
budget,a plan for how to spend money
build,to make or construct something
bunch,a group of things held or growing together
burden,a heavy load or responsibility
burn,to produce fire or heat by burning
burst,to break open suddenly
bury,to put something underground
bus,a large vehicle for carrying passengers
business,an organization for selling goods or services
busy,actively doing something or full of activity
but,used to show contrast or exception
button,a small fastener on clothes or devices
buy,to get something by paying money
buyer,a person who purchases something
"by","near or next to, through the action of"
cable,a thick rope or wire for carrying electricity or signals
cake,a sweet baked dessert
calculate,to find a number using math
call,to speak or shout to someone
calm,quiet and peaceful without noise or excitement
camera,a device for taking photographs or videos
camp,a place where people stay temporarily outdoors
campaign,a series of planned actions to achieve a goal
"can","able to, a metal container for food or drink"
cancel,to stop or call off something planned
cancer,a disease caused by uncontrolled cell growth
candidate,a person seeking a job or position
cap,a hat without a brim
capability,the ability to do something
capable,having the ability to do something
capacity,the maximum amount something can hold
"capital","a city where a government is based, money for investment"
capture,to take control or catch someone or something
car,a vehicle with four wheels for driving on roads
carbon,a chemical element found in all living things
card,a small flat piece for identification or payment
care,the effort to look after someone or something
career,a job or profession over a long time
careful,showing attention to avoid mistakes or harm
carefully,in a way that avoids mistakes or harm
carpet,a floor covering made of thick fabric
carry,to hold and move something from one place
case,a container or an example of something happening
cash,money in coins or bills
cast,to throw something forcefully
castle,a large strong building for defense
cat,a small domesticated animal with fur and whiskers
catalog,a list or collection of items for sale or display
catch,to grab or stop something moving through the air
category,a group of things with shared features
cause,a reason something happens or a goal to support
celebrate,to do something special for an important event
celebration,a joyful event to mark a special occasion
cell,a small room or the basic unit of life
cent,a unit of money equal to one hundredth of a
center,the middle point or place of something
central,located in the middle or most important part
century,a period of one hundred years
ceremony,a formal event for a special occasion
certain,sure or known without doubt
"certainly","without any doubt, definitely"
chain,a series of connected links or things
chair,a seat for one person with a back
chairman,a person leading a meeting or organization
challenge,a difficult task or problem to solve
chamber,a room used for a special purpose
champion,a winner of a competition or contest
championship,a contest to find the best competitor
chance,the possibility that something will happen
change,to make or become different
"channel","a path for water, TV, or communication"
chapter,a section of a book or story
character,a person in a story or a letter/symbol
characteristic,a typical quality or feature of something
characterize,to describe the typical qualities of something
charge,to ask for payment or to attack
charity,help or money given to those in need
charm,a small object believed to bring luck
chart,a visual display of information or data
chase,to run after someone or something
"chat","to talk in a friendly, informal way"
cheap,low in price or cost
check,to examine or verify something
cheek,the side of the face below the eye
cheese,a food made from milk
chemical,a substance used in or made by chemistry
chest,the front part of the body between the neck and
chicken,a common farm bird raised for meat or eggs
chief,the leader or most important person
child,a young human being
childhood,the time when someone is a child
chip,a small piece broken off something
chocolate,a sweet food made from cocoa
choice,an option or decision
choose,to pick or select something
church,a building used for Christian worship
cigarette,a small roll of tobacco for smoking
circle,a round shape with no corners
circumstance,a fact or condition affecting a situation
cite,to mention as evidence or example
citizen,a legally recognized member of a country
city,a large town or urban area
civil,relating to citizens or polite behavior
civilian,a person not in the military
claim,to say something is true or yours
class,a group of students or a category
classic,something judged to be of highest quality
classical,relating to ancient Greek or Roman culture or traditional music
clause,a part of a sentence with a subject and verb
clean,free from dirt or mess
clear,easy to see or understand
clearly,in a way that is easy to see or understand
click,to press a button on a mouse or device
climate,the usual weather in a place
climb,to go up something using hands or feet
clinical,relating to medical treatment or observation
clock,device that shows the time
close,to shut something or be near
closely,in a careful or detailed way
clothes,items worn to cover the body
clothing,garments worn on the body
cloud,visible mass of water vapor in sky
club,group of people with shared interest
cluster,a group of things close together
coach,person who trains athletes or team
coal,black rock used as fuel
coast,land next to the sea
coat,outer garment worn for warmth
code,system of symbols or rules
coffee,hot drink made from roasted beans
coin,small flat metal money piece
cold,having low temperature
collapse,to fall down suddenly
colleague,person you work with
collect,to gather things together
collection,group of items gathered together
college,school for higher education
color,property that shows hue of things
column,vertical division or pillar
combination,joining two or more things
combine,to join or mix together
come,to move toward a place
comedy,funny play or movie
comfort,state of physical ease
comfortable,providing physical ease or relaxation
command,to give an order
comment,a spoken or written remark
commercial,related to business or trade
commission,group given a task or fee paid
commit,to carry out or pledge
commitment,promise to do something
committee,group chosen to make decisions
common,usual or shared by many
communicate,to share information or ideas
communication,the act of sharing information
community,a group of people living or working together
company,a business or group of people working together
compare,to look at similarities and differences between things
comparison,the act of examining two or more things side by
compensation,money or payment for work or loss
compete,to try to win against others
competition,an event where people try to win
competitive,wanting to win or be better than others
competitor,a person or group trying to win against others
complain,to say something is wrong or not good
complaint,a statement about something wrong or bad
complete,to finish or make whole
completely,totally or fully
"complex","made of many connected parts, not simple"
complexity,the state of being complicated or difficult
complicate,to make something more difficult or confusing
component,a part of a larger whole
compose,to make or create by putting parts together
composition,the way something is made or put together
compound,a thing made of two or more parts combined
comprehensive,including all or nearly all parts or details
comprise,to include or contain
compromise,an agreement where both sides give up something
compute,to calculate or figure out by using a machine
computer,an electronic device for storing and processing data
concentrate,to focus attention on something
concentration,the act of focusing attention
concept,an idea or general understanding
concern,a worry or interest about something
concert,a live music performance
conclude,to finish or decide after thinking
conclusion,the end or decision reached after thinking
"concrete","real or specific, not abstract"
condition,the state or situation of something
"conduct","to lead or guide, behavior or way of acting"
conference,a formal meeting for discussion
confidence,belief in oneself or trust in something
confident,feeling sure about oneself or something
confirm,to prove or show something is true
conflict,a serious disagreement or fight between people or groups
confuse,to make someone unable to think clearly
confusion,a state of being unclear or mixed up
connect,to join or link two or more things
connection,a link or relationship between things
consequence,a result or effect of an action
consequently,as a result or effect of something
conservative,favoring traditional ideas and values
consider,to think about carefully before deciding
"considerable","large in size, amount, or degree"
consideration,careful thought before making a decision
consist,to be made up or formed of something
consistent,always behaving or happening in the same way
constant,happening all the time without change
"constantly","all the time, continuously"
constitute,to make up or form something
constraint,a limit or restriction on actions
construct,to build or put together something
construction,the process of building something
consult,to ask for advice or information
consultant,a person who gives expert advice
consume,to use up or eat something
consumer,a person who buys or uses goods
contact,to communicate or get in touch with someone
contain,to have something inside or within
contemporary,belonging to the same time period
content,the things that are inside something
contest,a competition or challenge
context,the situation or information around something
continue,to keep going without stopping
continuous,happening without interruption
contract,a written or spoken agreement
contrast,to show differences when compared
contribute,to give or add to something
contribution,something given to help or support
control,to have power over something
controversial,causing disagreement or public debate
convention,a usual way of doing something
conventional,following accepted customs or standards
conversation,a talk between two or more people
convert,to change something into a different form
convince,make someone believe or agree
cook,prepare food by heating it
cool,slightly cold or calm down
cooperation,working together for a goal
cope,deal successfully with problems
copy,make a similar or duplicate version
core,central or most important part
corner,where two edges or sides meet
corporate,relating to a large company
corporation,a large business or company
correct,free from mistakes or accurate
correspond,match or communicate with someone
cost,the price or amount paid
cough,force air out of the throat suddenly
could,used to express possibility or ability
council,a group that makes decisions
counsel,advice or guidance given
count,determine the total number of
counter,a flat surface or oppose something
country,a nation or land area
county,a regional division within a state
couple,two people or things together
course,a path or series of lessons
court,a place for legal cases or sports
cousin,child of your aunt or uncle
cover,put something over or protect
coverage,extent of reporting or protection
cow,a large farm animal that gives milk
crack,a narrow break or split
craft,skill in making things by hand
crash,a sudden collision or failure
crazy,mentally unstable or very strange
cream,thick white liquid from milk
create,make something new or original
creation,something that has been made
creative,having the ability to make new ideas
creature,a living being or animal
credit,recognition for work or money lent
crew,a group working together on a task
crime,an illegal act or wrongdoing
criminal,a person who breaks the law
crisis,a time of great difficulty or danger
criteria,standards used to judge or decide something
critic,a person who evaluates or judges something
critical,expressing disapproval or very important
criticism,the act of expressing disapproval or judgment
criticize,to express disapproval or find faults
crop,a plant grown for food or profit
cross,to go from one side to another
crowd,a large group of people gathered together
crucial,extremely important or necessary
cry,to produce tears from the eyes
cultural,relating to the ideas and customs of a group
"culture","the beliefs, customs, and arts of a group"
cup,a small container for drinking liquids
curious,eager to learn or know something
currency,money used in a country
current,happening or existing now
currently,at the present time
curtain,a piece of cloth hung to cover a window
"curve","a smooth, rounded line or shape"
custom,a usual way of behaving or doing something
customer,a person who buys goods or services
cut,to divide or make an opening with a sharp tool
cycle,a series of events that repeat regularly
dad,a father
daily,happening every day
damage,harm or injury that reduces value or function
damn,used to express anger or emphasis
dance,to move the body rhythmically to music
danger,the possibility of harm or injury
dangerous,likely to cause harm or injury
dare,to have the courage to do something
dark,having little or no light
darkness,the state of being without light
data,facts or information collected for analysis
database,an organized collection of data
date,a specific day of the month or year
daughter,a female child of parents
day,a 24-hour period of time
dead,no longer alive or functioning
deal,an agreement or arrangement
dealer,a person who sells goods or services
dear,loved or valued very much
death,the end of life
debate,a formal discussion on a topic
debt,money owed to someone else
decade,a period of ten years
decide,to make a choice or judgment
decision,a choice made after thinking
declare,to announce something officially
decline,to become smaller or refuse
decrease,to become less or reduce
dedicate,to set aside for a special purpose
deep,extending far down or inward
deeply,in a strong or intense way
defeat,to win against someone in a contest
defend,to protect from harm or attack
defense,protection against attack or harm
deficit,the amount by which something is less
define,to explain the meaning of something
definitely,without any doubt or question
definition,a statement of the meaning of a word
degree,a unit of measurement or level
delay,to make something happen later than planned
delight,great pleasure or happiness
deliver,to bring and hand over something
delivery,the act of bringing goods to a place
demand,a strong request or need for something
democracy,government by the people or their elected representatives
democratic,related to democracy or equal rights
demonstrate,to show or prove something clearly
demonstration,a public display of opinion or skill
density,how much mass is in a given space
deny,to say something is not true or refuse
department,a part of a larger organization
depend,to rely on someone or something
dependent,needing support or help from others
deposit,to put money or something valuable somewhere
depress,to make someone feel sad or lower in mood
depression,a feeling of deep sadness or low mood
depth,the distance from top to bottom or front to back
derive,to get or receive from a source
describe,to say or write what something is like
description,a statement that explains what something looks like
"desert","a dry, sandy area with little rain"
deserve,to have earned something because of actions
design,a plan or drawing for making something
designer,a person who plans how something looks
desire,a strong feeling of wanting something
desk,a piece of furniture for writing or working
despite,without being affected by something else
destroy,to damage something so it no longer exists
destruction,the act of causing damage or ruin
detail,a small part or fact about something
detect,to discover or notice something hidden
determination,the quality of trying hard to do something
determine,to decide or figure out something
develop,to grow or cause to grow or improve
development,the process of growing or improving
device,a tool or machine made for a purpose
devote,to give time or effort to something
dialog,a conversation between two or more people
die,to stop living
diet,the food and drink a person usually eats
differ,to be unlike or not the same
difference,the way two things are not the same
different,not the same as another thing
differently,in a way that is not the same
difficult,not easy to do or understand
difficulty,a problem or something hard to do
dig,to break or move earth with hands or tools
digital,using numbers or electronic signals
dimension,a measurable extent like length or width
"dinner","the main meal of the day, usually evening"
direct,to guide or control something
direction,the path or way to a place
directly,in a straight line or without stopping
director,a person who manages or leads a group
dirty,not clean or covered with dirt
disagree,to have a different opinion than someone else
disappear,to stop being visible or present
disappoint,to make someone feel sad or let down
disaster,a sudden event causing great damage or harm
discipline,training to follow rules or behave properly
discount,a reduction in price
discover,to find something for the first time
discovery,the act of finding something new
discuss,to talk about something with others
discussion,a conversation about a particular topic
disease,an illness affecting the body or mind
dish,a shallow container for food or a prepared meal
"disk","a flat, round object or storage medium"
dismiss,to send away or reject an idea or person
disorder,a state of confusion or illness
display,to show or exhibit something
dispute,a disagreement or argument
distance,the amount of space between two points
distant,far away in space or time
distinct,clearly different or separate
distinction,a difference or special recognition
distinguish,to recognize differences between things
distribute,to give out or spread over an area
district,an area or region within a city or country
disturb,to interrupt or bother someone
diversity,variety or differences within a group
divide,to separate into parts or groups
division,the act of separating or a group formed by separating
divorce,the legal ending of a marriage
do,to perform an action or task
doctor,a person trained to treat illnesses
document,a written or printed record
"dog","a common domesticated animal, often a pet"
dollar,a unit of money used in some countries
domestic,relating to the home or within a country
dominate,to have control or power over something
door,a movable barrier for entering or exiting
double,twice as much or two times
doubt,a feeling of uncertainty or lack of trust
down,toward a lower place or position
dozen,a group of twelve items
draft,a preliminary version of a piece of writing
drag,to pull something along the ground
drama,a play or serious story for acting
dramatic,relating to drama or sudden strong emotions
dramatically,in a sudden or noticeable way
draw,to make a picture with a pen or pencil
dream,a series of thoughts during sleep
dress,clothing worn by a person
drink,to swallow a liquid
drive,to operate a vehicle
driver,a person who controls a vehicle
drop,to let something fall
drug,a substance used as medicine or for effect
dry,not wet or moist
due,expected to happen or arrive
during,throughout the time of something
"dust","fine, dry particles of earth or dirt"
duty,a moral or legal responsibility
each,every one of two or more things
ear,the organ used for hearing
early,happening before the usual time
earn,to receive money for work done
earth,the planet we live on
ease,to make something less difficult or painful
easily,without difficulty
east,the direction where the sun rises
eastern,located in the east part of an area
easy,not difficult to do
eat,to put food into the mouth and swallow
economic,relating to money or business
economy,the system of money and trade in a country
edge,the border or outer part of something
edit,to prepare written material for publication
edition,a particular version of a book or newspaper
editor,a person who prepares content for publication
educate,to teach or provide knowledge
education,the process of learning or teaching
educational,intended to teach or provide knowledge
effect,a result or change caused by something
effective,producing the intended result or effect
effectively,in a way that produces the desired result
efficiency,doing something well without wasting time or resources
efficient,working well without wasting time or resources
effort,physical or mental energy used to do something
"egg","an oval object laid by birds, often eaten as food"
either,one or the other of two choices
elderly,old or advanced in age
elect,to choose someone for a position by voting
election,a process of choosing leaders by voting
electric,powered by electricity
electricity,a form of energy that powers devices
electronic,using or related to devices with circuits
element,a basic part or component of something
eliminate,to remove or get rid of something completely
"else","in addition, different or other"
elsewhere,in or to another place
email,a message sent electronically over the internet
embarrass,to make someone feel awkward or ashamed
embrace,to hold someone closely in your arms
emerge,to come out or appear from somewhere
emergency,a sudden serious situation needing quick action
emotion,a strong feeling like happiness or anger
emotional,relating to feelings or showing strong feelings
emphasis,special importance or attention given to something
emphasize,to give special importance to something
empire,a group of countries ruled by one leader
employ,to hire someone to work for pay
employee,a person who works for an employer
employer,a person or company that hires workers
employment,the state of having a paid job
"empty","containing nothing, not filled"
enable,to make something possible or easier
encounter,to meet or come across unexpectedly
encourage,to give support or confidence to someone
end,the final part or conclusion of something
enemy,a person or group that is against you
energy,the ability to do work or cause change
engage,to participate or become involved in something
engine,a machine that converts energy into motion
engineer,a person who designs or builds machines or structures
enhance,to improve or make better
enjoy,to take pleasure in something
enormous,very large in size or amount
enough,as much as needed
ensure,to make certain that something happens
enter,to go into a place
enterprise,a business or company
entertain,to provide amusement or enjoyment
entertainment,activities that provide fun or enjoyment
entire,whole or complete
entirely,completely or fully
entitle,to give a right or claim to something
entrance,a way in or entry point
entry,the act of going in or a place to enter
envelope,a paper cover for a letter
environment,the surroundings or conditions around something
environmental,related to the natural world
episode,a single event or part of a series
equal,the same in amount or value
equally,in the same way or amount
equation,a math statement showing two equal expressions
equipment,tools or machines needed for a task
equivalent,equal in value or meaning
era,a period of time marked by events
error,a mistake or wrong action
escape,to get away from danger or confinement
especially,more than usual or particularly
essay,a short piece of writing on a topic
essential,absolutely necessary or very important
establish,to set up or start something
establishment,a business or organization
estate,all property owned by a person
estimate,a rough calculation or guess
ethnic,relating to a cultural or racial group
evaluate,to judge or assess something
evaluation,the process of judging or assessing
"even","flat or equal, also used to show surprise"
evening,the time between late afternoon and night
"event","something that happens, especially important"
eventually,in the end after some time
ever,at any time
every,each one without exception
everybody,all people
everyday,common or usual daily
everyone,all people
everything,all things
everywhere,in all places
evidence,proof or facts showing truth
evil,very bad or morally wrong
evolution,gradual change over time
evolve,to develop or change gradually
exact,completely correct or precise
exactly,in a precise or correct way
exam,a test of knowledge or skill
examination,a detailed inspection or test
examine,to look at carefully
example,a sample or model to show
exceed,to go beyond a limit
excellent,very good or outstanding
except,not including
exception,something that does not follow a rule
excess,more than needed or allowed
exchange,to give and receive something
excite,to cause strong feelings of happiness
excitement,a feeling of great enthusiasm
exclude,to keep out or leave out
excuse,a reason to explain or forgive
executive,a person who manages or leads
exercise,physical activity for health
exhaust,to use up completely
exhibit,to show or display something
exhibition,a public display of items
exist,to be real or alive
existence,the state of being alive or real
expand,to increase in size or amount
expansion,the act of growing larger
expect,to think something will happen
expectation,a belief that something will happen
expenditure,the act of spending money
expense,the cost of something you buy or pay for
expensive,costing a lot of money
experience,knowledge or skill gained over time
experiment,a test to learn or discover something
experimental,relating to trying new methods or ideas
expert,a person with a lot of skill or knowledge
explain,to make something clear or easy to understand
explanation,a reason or cause given for something
explore,to travel around to learn about a place
export,to send goods to another country to sell
expose,to show or reveal something hidden
exposure,the state of being uncovered or shown
express,to show or communicate a thought or feeling
expression,a look or phrase that shows a feeling or idea
extend,to make something longer or bigger
extension,an addition that makes something longer or bigger
extensive,covering a large area or amount
extent,the size or range of something
external,on or from the outside
extra,more than what is usual or needed
extract,to take something out from a larger whole
extraordinary,very unusual or remarkable
extreme,very great in degree or intensity
extremely,to a very high degree
eye,the organ you use to see
face,the front part of the head
facility,a place or building for a specific purpose
fact,something that is true or real
factor,a part or element that causes a result
factory,a building where goods are made
fade,to lose color or brightness gradually
fail,to not succeed in doing something
failure,lack of success in achieving a goal
fair,treating people equally and justly
fairly,to some extent but not completely
faith,strong belief or trust in something
faithfully,in a loyal and accurate way
fall,to drop down from a higher place
false,not true or correct
familiar,well known or easily recognized
family,a group of related people living together
famous,known by many people
fan,someone who likes something a lot
fancy,elaborate or decorative
fantastic,very good or impressive
far,a long distance away
farm,land used to grow crops or animals
farmer,a person who works on a farm
fascinate,to attract and hold attention
fashion,a popular style of clothing or behavior
fast,moving quickly
fat,having a lot of body weight
father,a male parent
fault,a mistake or problem
favor,an act of kindness
favorite,liked the most
fear,a feeling of being afraid
feature,a part or characteristic
federal,relating to the national government
fee,a payment for service
feed,to give food to someone or something
feel,to sense with the body or mind
fellow,a man or boy
female,a woman or girl
fence,a barrier around an area
festival,a special event or celebration
few,a small number
fiction,a made-up story
field,an open area of land
fight,to try to hurt or win against someone
figure,a number or shape
file,a collection of documents or data
fill,to make full
film,a movie or thin layer
filter,a device to remove unwanted parts
final,last or ending
finally,after a long time or at last
finance,the management of money
financial,relating to money
find,to discover or locate something
fine,good or acceptable quality or condition
finger,one of the five digits on a hand
finish,to complete or end something
"fire","hot, burning gas and flames"
firm,a business or company
firmly,in a strong or steady way
first,coming before all others in time or order
firstly,used to introduce the first point or reason
fish,a water animal with gills and fins
fit,to be the right size or shape
fix,to repair or make something work
flag,a piece of cloth with a symbol or colors
flash,to shine brightly for a short time
"flat","having a smooth, even surface without bumps"
flexible,able to bend without breaking
flight,the act of flying or a trip by airplane
float,to rest or move on the surface of a liquid
flood,an overflow of water covering land
floor,the bottom surface of a room
flow,to move steadily and continuously
flower,the colorful part of a plant that blooms
fly,to move through the air using wings
focus,to concentrate attention on something
fold,to bend something over itself
folk,people in general or a particular group
follow,to come after or go behind someone
food,something eaten to provide nutrition
fool,a person who acts without good sense
foot,the lower part of the leg used for standing
football,a game played by kicking a ball
for,used to indicate purpose or benefit
force,strength or power applied to something
forecast,a prediction of future weather or events
foreign,from another country or place
forest,a large area covered with many trees
"forever","for all time, without end"
forget,to fail to remember something
form,the shape or structure of something
formal,following rules or customs strictly
format,the arrangement or layout of something
formation,the act of forming or creating something
former,having been previously but not now
formula,a fixed way of doing or making something
forth,outward or forward in place or time
fortunate,having good luck or favorable circumstances
fortune,a large amount of money or luck
forward,toward the front or future time
found,to establish or start something
foundation,the base or support of a structure or idea
fragment,a small piece broken off from something
frame,a structure that surrounds or supports something
framework,a basic structure for supporting or organizing
"free","not under control or payment, available to use"
freedom,the power to act or think without restriction
freeze,to become hard or solid because of cold
frequency,how often something happens over time
frequent,happening often or many times
frequently,occurring many times or often
"fresh","new, recently made or obtained"
friend,a person you like and trust
friendly,acting in a kind and helpful way
